Year,Composer,Lyricist,Song,Lyrics
2013,عمرو دياب,تامر حسين,عندي سؤال,"عندي سؤال وجاوبني عليه
إنت بتعمل فيا أنا إيه
إحساس عمري ما حسيت بيه
غير وأنا وياك


عمال تحلي في عيني وأقول
أنا مش قد عيونك دول
هو في كدا لا مش معقول
إحترت معاه

يرضيك خطفت قلبي ولا أنا هنا
دبت فيك بنظرة حنينه
نفسي تبقى جنبي يوم المنى
اللي بحلم بيه
يرضيك خطفت قلبي و لا أنا هنا
دبت فيك بنظرة حنينه
نفسي تبقى جنبي يوم المنى
اللي بحلم بيه

الأشواق لو ليها حدود
أنا شوقي ليك دايماً موجود
أنا قلبي بحبك موعود
على طول يناديه

القمر اللي الناس شايفاه
أجمل حاجة في دنيتنا
صدقني جمالك عداه
آه يا روحي عليك

يرضيك خطفت قلبي ولا أنا هنا
دبت فيك بنظرة حنينه
نفسي تبقى جنبي يوم المنى
اللي بحلم بيه
يرضيك خطفت قلبي و لا أنا هنا
دبت فيك بنظرة حنينه
نفسي تبقى جنبي يوم المنى
اللي بحلم بيه


يرضيك خطفت قلبي و لا أنا هنا
دبت فيك بنظرة حنينة
نفسي تبقى جنبي يوم المنى
اللي بحلم بيه
يرضيك خطفت قلبي و لا أنا هنا
دبت فيك بنظرة حنينة
نفسي تبقى جنبي يوم المنى
اللي بحلم بيه

نفسي تبقى جنبي يوم المنى اللي بحلم بيه
دبت فيك بنظرة حنينة
نفسي تبقى جنبي يوم المنى اللي بحلم بيه"
2013,عمرو دياب,تامر حسين,واهي زكريات,"تفوت سنين
وأقول نسيت خلاص هواه وأنا ولا بنساه
وأشوف صورته بتوحشني حياتي معاه
وأقول نسيت خلاص هواه وأنا ولا بنساه
وأشوف صورته بتوحشني حياتي معاه

عمالة بتيجي في بالي وبفتكر اللي فات
والعمر يعدي قصادي ويتعاد في حكايات
وأهي ذكريات
عمالة بتيجي في بالي وبفتكر اللي فات
والعمر يعدي قصادي ويتعاد في حكايات
وأهي ذكريات
وأهي ذكريات

سرحت فيه
في صورة لينا من زمان وأنا ماسك إيديه
وقلت لنفسي دي الدنيا هنعمل إيه
تقول تعيد مافيش رجوع خلاص دا ماضي وراح
بقيت مضطر أقول ذكرى عشان أرتاح

عمالة بتيجي في بالي وبفتكر اللي فات
والعمر يعدي قصادي ويتعاد في حكايات
وأهي ذكريات
عمالة بتيجي في بالي وبفتكر اللي فات
والعمر يعدي قصادي ويتعاد في حكايات
وأهي ذكريات
وأهي ذكريات

آه، آه
آه

عمالة بتيجي في بالي وبفتكر اللي فات
آه، آه، آه

"
2013,احمد حسين,تامر حسين,خلينا لوحدينا,"كل حاجة حلمت بيها النهاردة أنا شوفتها
لما جيت ومليت حياتي يا حبيبي
كان في بالي دنيا حلوة عشت أجمل منها
نفسي أقول لك كلمة أغلى من حبيبي

خلينا لوحدينا ننسى الناس
نعيش دنيا بالإحساس تكون هي جنتنا
خلينا لوحدينا كده على طول
خلي اللي بينا يطول، ده وقت فرحتنا

قلبي وياك إستريح وفي ثواني صدقك
شاف معاك حب وأمان محلمش بيه
الكلام وياك يريح ده اللي عرفك يعشقك
أمال اللي يكون حبيبك يعمل إيه

خلينا لوحدينا ننسى الناس
نعيش دنيا بالإحساس تكون هي جنتنا
خلينا لوحدينا كده على طول
خلي اللي بينا يطول، ده وقت فرحتنا

كل كلمة حب منك إتقالتلي سمعتها
طمنتني وفرحتني وقلت آه
ده اللي جرب حبك إنت كان هيعرف وقتها
اللي ضاع من عمره وإنت مش معاه

خلينا لوحدينا ننسى الناس
نعيش دنيا بالإحساس تكون هي جنتنا
خلينا لوحدينا كده على طول
خلي اللي بينا يطول، ده وقت فرحتنا
خلينا لوحدينا ننسى الناس
نعيش دنيا بالإحساس تكون هي جنتنا
خلينا لوحدينا كده على طول
خلي اللي بينا يطول، ده وقت فرحتنا
خلينا لوحدينا ننسى الناس
نعيش دنيا بالإحساس تكون هي جنتنا
خلينا لوحدينا كده على طول"
2013,عمرو دياب,بهاء الدين محمد,مفيش منك,"أيوه مافيش منك تخيل
مهما هقول عنك قليل
كل نهار في نهايته ليل إلا ليلي نهار
أيوه مافيش قلب إلا قلبك
أيوه مافيش حب إلا عندك
يا اللي حبك خلى قلبي بين إيديك يحتار
أيوه مافيش منك تخيل
مهما هقول عنك قليل
كل نهار في نهايته ليل إلا ليلي نهار
أيوه مافيش قلب إلا قلبك
أيوه مافيش حب إلا عندك
يا اللي حبك خلى قلبي بين إيديك يحتار

عيني عليك قلبك حنين
آجي عليك على طول تبين
ده إنت عليك إحساس يجنن هو ده الإحساس
لسه بتسأل ليه بحبك
مع إنك عارف هقولك
هما حاجة وإنت حاجة إنت غير الناس

أيوه مافيش منك تخيل
مهما هقول عنك قليل
كل نهار في نهايته ليل إلا ليلي نهار
أيوه مافيش قلب إلا قلبك
أيوه مافيش حب إلا عندك
يا اللي حبك خلى قلبي بين إيديك يحتار"
2013,خليل مصطفى,مجدي النجار,سبت فراغ كبير,"سبت فراغ كبير
عندي والله حبيبي، حبيبي
وإنت هناك بعيد
مش بعيد عني حبيبي
قولي إزاي أعيش
سبت فراغ كبير
عندي والله حبيبي، حبيبي
وإنت هناك بعيد
مش بعيد عني حبيبي
قولي إزاي أعيش


كل يوم بقول
إمتى ترجع ليا إمتى
صعبة أوي الحياة
صعبة من غيرنا أنا وإنت
قولي إزاي أعيش
ذكريات كثير
بتقابلني معاك يوماتي
وبتفكرني بيك
وبسنين حلوة في حياتي
قولي إزاي أعيش

مهما غبت سنين عن عيني
إبتسامتك ضي عيني
روحي مش ممكن هترجع
إلا بوجودك حبيبي
حبيبي، حبيبي

سبت فراغ كبير
عندي والله حبيبي، حبيبي
وإنت هناك بعيد
مش بعيد عني حبيبي
عندي كلام كثير
نفسي أقوله وإنت معايا
قلبي مش لاقيه
غير معاك إيه الحكاية
كل يوم مفيش
عندي سيرة غير حياتنا
واللي فرحنا بيه
بعد ما فرح ما فاتنا
من غيرك بموت
وإسمي عايش حد تاني
ببكي من غير صوت
وسط دوامة الأماني
قولي إزاي أعيش"
2013,خليل مصطفى,عادل عمر,ياقلبها,"يا قلبها
قلبي دايب
قلبي دايب
قولها
آه من الهوى اللي في عينيكي
عينيكي خدوني هوا
يا قلبها
قلبي دايب
قلبي دايب
قولها
آه من الهوى اللي في عينيكي
عينيكي خدوني هوا

يا قلبي يا عمري يا
من الغرام اللي بينا إبتدا
يا قلبي يا شوقي يا
مستحيل حد يعشق كدا
آه من الهوى اللي في عينيكي
عينيكي خدوني هوا

يا قلبها
قلبي دايب
قلبي دايب
قولها
آه من الهوى اللي في عينيكي
عينيكي خدوني هوا

مين زيها في حياتي
يا حياتي كلها
قلبي دا شاور عليكي
عليكي وغنى هوا
مين زيها في حياتي
يا حياتي كلها
قلبي دا شاور عليكي
عليكي وغنى هوا

يا سحرها ضيها
هو في زي همس الكلام
يا ضحكها فرحها
لا مافيش تاني بعدِك غرام
آه من الهوى اللي في عينيكي
عينيكي خدوني هوا

يا قلبها
قلبي دايب
قلبي دايب
قولها
آه من الهوى اللي في عينيكي
عينيكي خدوني هوا

يا قلبي يا عمري يا
من الغرام اللي بينا إبتدا
يا قلبي يا شوقي يا
مستحيل حد يعشق كدا
آه من الهوى اللي في عينيكي
عينيكي خدوني هوا
يا قلبي يا شوقي يا
آه من الهوى اللي في عينيكي
عينيكي خدوني هوا"
2013,احمد حسين,تامر حسين,حبيت يا قلبي,"حبيت يا قلبي ولا إيه
ملهوف عليه وشاغلني بيه
ودي مش عوايدي حصلي إيه
بهتم بيه وواحشني ليه
حبيت يا قلبي ولا إيه
ملهوف عليه وشاغلني بيه
ودي مش عوايدي حصلي إيه
بهتم بيه وواحشني ليه

بقى يجي كتير في بالي
ولا بيفارق خيالي
ويا قلبي حلها لي هنعمل إيه
بقى يجي كتير في بالي
ولا بيفارق خيالي
ويا قلبي حلها لي هنعمل إيه

إحساسي متغير معاه
ما بقيتش أنا من يوم لقاه
ودا مش بيتهيألي لا لا
قدام عينيه بنسى الحياة

بقى يجي كتير في بالي
ولا بيفارق خيالي
ويا قلبي حلها لي هنعمل إيه
بقى يجي كتير في بالي
ولا بيفارق خيالي
ويا قلبي حلها لي هنعمل إيه

بقى يجي كتير في بالي
ولا بيفارق خيالي
ويا قلبي حلها لي هنعمل إيه
ويا قلبي حلها لي هنعمل إيه
بقى يجي كتير في بالي
ولا بيفارق خيالي
ويا قلبي حلها لي هنعمل إيه

بقى يجي كتير في بالي
ولا بيفارق خيالي
ويا قلبي حلها لي هنعمل إيه"
2013,عمرو دياب,خالد تاج الدين,لفيتها بلاد,"لفيتها بلاد شفت كتير دية ودية
ما لقيتش جمال بنت بلادي العربية
لفيتها بلاد شفت كتير دية ودية
ولا قلبي مال غير للبنت العربية
لفيتها بلاد شفت كتير دية ودية
مالقيتش جمال بنت بلادي العربية
لفيتها بلاد شفت كتير دية ودية
ولا قلبي مال غير للبنت العربية

ليها سحر وروح لو فين ما تروح
من وسط بنات الدنيا تشوفها تقول هي
ليها سحر أكيد يخدك لبعيد
من وسط بنات الدنيا تشوفها تقول هي

تتحب يا ناس هي اللي مليتلي عينيا
ده أنا شفت كثير قبلها ورسيت على دية
دي رموش العين تقتل والضحكة شقية
وفي أي مكان هي تكون أحلى صبية

ليها سحر وروح لو فين ما تروح
من وسط بنات الدنيا تشوفها تقول هي
ليها سحر أكيد يخدك لبعيد
من وسط بنات الدنيا تشوفها تقول هي

لفيتها بلاد شفت كتير دية ودية
مالقيتش جمال بنت بلادي العربية
أوصفها بإيه مهما هقول برضه شوية
دا قوامها يميل ألقى الدنيا دارت بيا
لفيتها بلاد شفت كتير دية ودية
ما لقيتش جمال بنت بلادي العربية
لفيتها بلاد شفت كتير دية ودية
ما لقيتش جمال بنت بلادي العربية"
2013,اسلام زكي, تامر حسين,فوق من اللي انت فيه,"فوق من اللي إنت فيه
إعمل حاجة مستني إيه
عيد حساباتك يا حبيبي
دا لو يهمك حبنا
مين بيحب مين
دا إحنا بقينا متغربين
لو مش خايف على اللي بينا
مش هخاف عليه أنا

إحنا فيها لسه فيها يلا غير نظرتي
وبإيدك تفضل حبيبي أو تفارق دنيتي
إحنا فيها لسه فيها إعتبرنا بنبتدي
وبإيدك تفضل حبيبي أو تفارق دنيتي

فوق من اللي إنت فيه
إعمل حاجة مستني إيه
عيد حساباتك يا حبيبي
دا لو يهمك حبنا

جايز بالعتاب
ترجع تاني تعمل حساب
لسنين فاتوا وذكرى حلوة
وعمر وياك إبتدى
لو ما تهمنيش
كان من بدري أسيبك وأعيش
ولا كنت أرجع أقول حبيبي
مين هيبقى عليك كدا

إحنا فيها لسه فيها يلا غير نظرتي
وبإيدك تفضل حبيبي أو تفارق دنيتي
إحنا فيها لسه فيها إعتبرنا بنبتدي
وبأيدك تفضل حبيبي أو تفارق دنيتي

فوق من اللي إنت فيه
إعمل حاجة مستني إيه
عيد حساباتك يا حبيبي
دا لو يهمك حبنا


إحنا فيها لسه فيها يلا غير نظرتي
وبإيدك تفضل حبيبي أو تفارق دنيتي
إحنا فيها لسه فيها إعتبرنا بنبتدي
وبإيدك تفضل حبيبي أو تفارق دنيتي


فوق من اللي إنت فيه
إعمل حاجة مستني إيه
عيد حساباتك يا حبيبي
دا لو يهمك حبنا"
2013,خليل مصطفى,مجدي النجار,عدت الايام ,"عدت الأيام عليا
عدت صعبة بجد عليا
ما أنا ما عرفتش أعيش يا حبيبي
وإنت غايب عن عينيا
عدت الايام عليا
عدت صعبة بجد عليا
ما أنا ما عرفتش أعيش يا حبيبي
وإنت غايب عن عينيا

أصعب حاجة مرت بيا
حالة الوحدة طول لياليا
وأصعب منها الشوق يا حبيبي
وإنت غايب عن عينيا

عدت الأيام عليا
عدت صعبة بجد عليا
ما أنا ما عرفتش أعيش يا حبيبي
وإنت غايب عن عينيا

كنت بحاول أعيش من غيرك
قولت لنفسي أعيش مع غيرك
بس ما شوفتش أبداً غيرك
وإنت غايب عن عينيا

عدت الأيام عليا
عدت صعبة بجد عليا
ما أنا معرفتش أعيش يا حبيبي
وإنت غايب عن عينيا

عرفت قيمتك يا حبيبي
عرفت يعني إيه حبيبي
قولي أقول لمين حبيبي
وإنت غايب عن عينيا

عدت الأيام عليا
عدت صعبة بجد عليا
قولي أقول لمين حبيبي
وإنت غايب عن عينيا"
2020,محمد يحيى,أيمن بهجت قمر,يا انا يا لا,"خلينا ننبسط، من القلب الضحكة طالعة
والليلة معاك، يا حبيبي معاك، الليلة الليلة والعة
خلينا ننبسط، من القلب الضحكة طالعة
والليلة معاك، يا حبيبي معاك، الليلة الليلة والعة

يا أنا يا لأ، ما حدش تاني، يا أنا يا لأ
ولا هتلاقي في نص حناني ولا في أرق
يا أنا يا لأ، ما حدش تاني، يا أنا يا لأ
ولا هتلاقي في نص حناني ولا في أرق
بلف وأدور وأنا معذور ومعايا حق

خلينا ننبسط، من القلب الضحكة طالعة
والليلة معاك يا حبيبي معاك الليلة الليلة والعة

يا أنا يا لأ، ماحدش تاني، يا أنا يا لأ
ولا هتلاقي في نص حناني ولا في أرق
يا أنا يا لأ، ماحدش تاني، يا أنا يا لأ
ولا هتلاقي في نص حناني ولا في أرق
بلف وأدور وأنا معذور ومعايا حق

سلمت وبعترف ومافيش حاجة هتمنعني
أنا جايلك أهو ياحبيبي أهو
ملي عيوني ومتعني

يا أنا يا لأ، ماحدش تاني، يا أنا يا لأ
ولا هتلاقي في نص حناني ولا في أرق
يا أنا يا لأ، ماحدش تاني، يا أنا يا لأ
ولا هتلاقي في نص حناني ولا في أرق
بلف وأدور وأنا معذور ومعايا حق"
2020,خالد عز, تركى آل الشيخ,محسود,"محسود على عودك يا جميل
على دقة عود إتمايل ميل
بعد اللي أنا دقته، كله بيجي بوقته
قدامنا طول الليل مواويل
محسود على عودك يا جميل
على دقة عود إتمايل ميل
بعد اللي أنا دقته، كله بيجي بوقته
قدامنا طول الليل مواويل

أنا وإنت بمية لمة، مش محتاجين لمة
لما بشوفك بنسى أنا مين
أنا وإنت بمية لمة، مش محتاجين لمة
لما بشوفك بنسى أنا مين

يا جمال قتال، دا لا شافت عيني ولا جه على البال
وعلى دا الحال، وياك على طول مرتاح البال
يا جمال قتال، دا لا شافت عيني ولا جه على البال
وعلى دا الحال، وياك على طول مرتاح البال

أنا وإنت بمية لمة، مش محتاجين لمة
لما بشوفك بنسى أنا مين
أنا وإنت بمية لمة، مش محتاجين لمة
لما بشوفك بنسى أنا مين

محسود على عودك يا جميل
على دقة عود إتمايل ميل
بعد اللي أنا دقته، كله بيجي بوقته
قدامنا طول الليل مواويل

العود ملفوف، جنبك وألاقيني عليك ليه ملهوف
ما تروحش بعيد، مبسوطة العين بحلاوة الشوف
العود ملفوف، جنبك وألاقيني عليك ليه ملهوف
ما تروحش بعيد، مبسوطة العين بحلاوة الشوف

أنا وإنت بمية لمة، مش محتاجين لمة
لما بشوفك بنسى أنا مين
أنا وإنت بمية لمة، مش محتاجين لمة
لما بشوفك بنسى أنا مين


محسود على عودك يا جميل
على دقة عود إتمايل ميل
بعد اللي أنا دقته، كله بيجي بوقته
قدامنا طول الليل مواويل"
2020,عزيز الشافعى,تامر حسين, شكرا,"شكراً كدا للي سابنا واللي إستتقل عتابنا
ما يجيش ويدق بابنا، عايزين نفرح شوية
خلينا نعيش حياتنا، بمزاجنا وبراحتنا
واللي يقل في راحتنا، يمشي الفترة اللي جاية
شكراً كدا للي سابنا واللي إستتقل عتابنا
ما يجيش ويدق بابنا، عايزين نفرح شوية
خلينا نعيش حياتنا، بمزاجنا وبراحتنا
واللي يقل في راحتنا، يمشي الفترة اللي جاية

كدا لأ تمام التمام ولا ندي حد إهتمام
مش طالبة زعل الليلادي واللي بيتلكك سلام
كل اللي جاي إنبساط، روق هتنسى اللي فات
عايزين نعيش الليلادي مش هنقضيها حكايات
كدا لأ تمام التمام ولا ندي حد إهتمام
مش طالبة زعل الليلادي واللي بيتلكك سلام
كل اللي جاي إنبساط، روق هتنسى اللي فات
عايزين نعيش الليلادي مش هنقضيها حكايات

الدنيا دي ليها حسبة، فرح وأحزان بنسبة
ليه نعيش في خيالنا كذبة، ليه نعمل مسرحية
اللي يوقف طريقنا واللي ما يبقاش طايقنا
مع نفسه دا ويفارقنا ونقوله دا مية مية
واللي ما تسلمش منه على طول إستغنى عنه
لما يقابلك كإنه هوا قدامك معدي
نفرح ونعيش بكيفنا وماعاش اللي يناكفنا
ياما عيشنا وياما شوفنا ولا تشغلنا الحاجات دي

كدا لأ تمام التمام ولا ندي حد إهتمام
مش طالبة زعل الليلادي واللي بيتلكك سلام
كل اللي جاي إنبساط، روق هتنسى اللي فات
عايزين نعيش الليلادي مش هنقضيها حكايات
كدا لأ تمام التمام ولا ندي حد إهتمام
مش طالبة زعل الليلادي واللي بيتلكك سلام
كل اللي جاي إنبساط، روق هتنسى اللي فات
عايزين نعيش الليلادي مش هنقضيها حكايات

كدا لأ تمام التمام ولا ندي حد إهتمام
مش طالبة زعل الليلادي واللي بيتلكك سلام
كل اللي جاي إنبساط، روق هتنسى اللي فات
عايزين نعيش الليلادي مش هنقضيها حكايات
كدا لأ تمام التمام ولا ندي حد إهتمام
مش طالبة زعل الليلادي واللي بيتلكك سلام
كل اللي جاي إنبساط، روق هتنسى اللي فات
عايزين نعيش الليلادي مش هنقضيها حكايات"
2020,عزيز الشافعي,تامر حسين,عايز اعمل زيك ,"عايز أعمل زيك وأنسى، قولي نسيتني إزاي
أصل أنا بفتكرك لسه، خسارة أنا مش نساي
عايز أعمل زيك وأنسى، قولي نسيتني إزاي
أصل أنا بفتكرك لسه، خسارة أنا مش نساي


أنا عمري ما قلبي طاوعني ولا ساعدني أنساك
بالعكس دا بيفكرني وبيخسرني سنين
وإزاي شايفك بتبيعني وبتعاتب وياك
أنا بسأل نفسي أنا جبت الصبر دا كله منين
أنا عمري ما قلبي طاوعني ولا ساعدني أنساك
بالعكس دا بيفكرني وبيخسرني سنين
وإزاي شايفك بتبيعني وبتعاتب وياك
أنا بسأل نفسي أنا جبت الصبر دا كله منين

اللي يشوفنا زمان أنا وإنت كنا الروح بالروح
إزاي يا حبيبي هننسى والأيام دي تروح
بعد الحب دا كله عايزنا نبقى لناس تانيين
للدرجة دي إنت شايفنا رحنا ومش راجعين

أنا عمري ما قلبي طاوعني ولا ساعدني أنساك
بالعكس دا بيفكرني وبيخسرني سنين
وإزاي شايفك بتبيعني وبتعاتب وياك
أنا بسأل نفسي أنا جبت الصبر دا كله منين

أول مرة وآخر مرة أدي لحد أمان
ما إتعودتش ولا مرة نقطة ضعفي تبان
دايماً أي إتنين إتفارقوا مش نفس الأشواق
واحد يفضل ولا همه والتاني بيشتاق

أنا عمري ما قلبي طاوعني ولا ساعدني أنساك
بالعكس دا بيفكرني وبيخسرني سنين
وإزاي شايفك بتبيعني وبتعاتب وياك
أنا بسأل نفسي أنا جبت الصبر دا كله منين
أنا عمري ما قلبي طاوعني ولا ساعدني أنساك
بالعكس دا بيفكرني وبيخسرني سنين"
2020,عزيز الشافعي,ايمن بهجت قمر,طبل,"طبعها كدا ودا مش مفتعل، طبعها كدا وإتقبل
أي كلام بتقوله في الزعل، لا تشوف ولا تستقبل
طبعها كدا ودا مش مفتعل، طبعها كدا وإتقبل
أي كلام بتقوله في الزعل، لا تشوف ولا تستقبل

سيبها تفضفض ما هي تعبانة
وإختم يومك بيها بتلومك إنها مظلومة كإنسانة
سيبها تفضفض ما هي تعبانة، هيهديها ترد عليها
دا إحنا في أملة إن إنتي معانا
وأما تقولك أنا غلطانة
طبل، طبل، طبلها طبل طبل

طبعها كدا ودا مش مفتعل، طبعها كدا وإتقبل
أي كلام بتقوله في الزعل، لا تشوف ولا تستقبل

هي تحكي إسمع منها وإهدى خالص، كبر
هي بس تقول رأيها وقولها الله أكبر
هي تحكي إسمع منها وإهدى خالص، كبر
هي بس تقول رأيها وقولها الله أكبر


سيبها تفضفض ما هي تعبانة
وإختم يومك بيها بتلومك إنها مظلومة كإنسانة
سيبها تفضفض ما هي تعبانة، هيهديها ترد عليها
دا إحنا في أملة إن إنتي معانا
وأما تقولك أنا غلطانة
طبل، طبل، طبلها طبل طبل

طبعها كدا ودا مش مفتعل، طبعها كدا وإتقبل
أي كلام بتقوله في الزعل، لا تشوف ولا تستقبل"
2020,شريف الغندور,بهاء الدين محمد,بتهزر,"بقى بتحبني لأ بتهزر، للدرجة دي
أنا كدا هتغر وهتمنظر على الدنيا دي
ولا هعرف أنام، بقى دا إسمه كلام
حلم الأحلام بيحبني أنا، لا مش عادي
بقى بتحبني لأ بتهزر، للدرجة دي
أنا كدا هتغر وهتمنظر على الدنيا دي
ولا هعرف أنام، بقى دا إسمه كلام
حلم الأحلام بيحبني أنا، لا مش عادي

بتقولي بحبك، طب فكر أو عيد تفكير
العادي أحبك مش أكتر، بس إنت كتير
بتقولي بحبك، طب فكر أو عيد تفكير
العادي أحبك مش أكتر، بس إنت كتير


بقى بتحبني لأ بتهزر، للدرجة دي
أنا كدا هتغر وهتمنظر على الدنيا دي
ولا هعرف أنام، بقى دا إسمه كلام
حلم الأحلام بيحبني أنا، لا مش عادي


هو إنت أكيد قلت بحبك، لأ ثواني
قولتها ولا أنا متهيألي، لأ قول تاني
لأ قولها كمان، ماتقولش جنان
طب مرة كمان علشان الناس مش علشاني
هو إنت أكيد قلت بحبك، لأ ثواني
قولتها ولا أنا متهيألي، لأ قول تاني
لأ قولها كمان، ماتقولش جنان
طب مرة كمان علشان الناس مش علشاني

بتقولي بحبك، طب فكر أو عيد تفكير
العادي أحبك مش أكتر، بس إنت كتير
بتقولي بحبك، طب فكر أو عيد تفكير
العادي أحبك مش أكتر، بس إنت كتير
بتقولي بحبك، طب فكر أو عيد تفكير
العادي أحبك مش أكتر، بس إنت كتير
بتقولي بحبك، طب فكر أو عيد تفكير
العادي أحبك مش أكتر، بس إنت كتير

بقى بتحبني لأ بتهزر، للدرجة دي
أنا كدا هتغر وهتمنظر على الدنيا دي
ولا هعرف أنام، بقى دا إسمه كلام
حلم الأحلام بيحبني أنا، لا مش عادي
بقى بتحبني لأ بتهزر، للدرجة دي
أنا كدا هتغر وهتمنظر على الدنيا دي
ولا هعرف أنام، بقى دا إسمه كلام
حلم الأحلام بيحبني أنا، لا مش عادي"
2020,وليد سعد,صابر كمال,فاكرني ياحب,"أهو دا اللي كنت خايف منه
وعمر الخوف ما يرد قدر

عفريت الحب عليا حضر
ودا قلبته سم وياما غدر
تاجر غشيم وتجارته قمار
يا بتكسب دوبل يا تروح هدر
عفريت الحب عليا حضر
ودا قلبته سم وياما غدر
تاجر غشيم وتجارته قمار
يا بتكسب دوبل يا تروح هدر

فاكرني يا حب
أنا زبونك السقع المضمون
كان قلبي هنا عندك مرهون
وإديتني من الصنف المجنون
أبو العُقّد والذي منه
فاكرني يا حب
أيوة اللي غفلته عليك نور
ورجعت لك بعدها مقهور
وخدت غيره وبعد شهور
طلع اللي بعد أسخم منه
إكرمني يا حب المرة دي
ما تشدش من رف الماضي
إكرمني يا حب المرة دي
ما تشدش من رف الماضي
ما تحطليش فوق جرحي حجر

بتخم يا حب؟! أولها كله بيبقى تمام
بس العيوب بتبان قدام
فجأة كدا بيحصل قفلة
دي عيوب صناعة مش إستخدام
بتخم يا حب؟! على العموم غلطة وتداوى
دا جر خير مش جر عداوة
أنا عايز أحب، إغطس وقب وإطلع بقى بحاجة نقاوة
إكرمني يا حب وحياة أبوك، وهجيب صحابي ينفعوك
إكرمني يا حب وحياة أبوك، وهجيب صحابي ينفعوك
وفوق وخلي عندك نظر

عفريت الحب عليا حضر
ودا قلبته سم وياما غدر
تاجر غشيم وتجارته قمار
يا بتكسب دوبل يا تروح هدر"
2020,خالد عز,خالد تاج الدين,وانا معاك,"النهاردة يا حبيبي سيبلي نفسك
دا إنت عمري اللي عمري ما عشته قبلك
إنت مني مش بإيدي دا غصب عني
إنت كلمة أحلى من كلمة بحبك

وأنا معاك بعيش وأقدر وأكون
ولا بخاف لو إيه في هواك يكون
لو دا جنان، إيه أحلى من الجنون
نتجنن أكتر وأكتر كمان
وأنا معاك ما بخافش من السنين
أنا هروح وياك لو رحت فين
أنا بجيب الجرأة دي منين
غيرت فيا كتير عن زمان

إنت حالة من حالات العشق نادرة
إنت ماضي وإنت برضه حلم بكرة
كنت بحسب لما أحب، هحب عادي
لما شفتك، مين أنا، ما بقيتش فارقة

وأنا معاك بعيش وأقدر وأكون
ولا بخاف لو إيه في هواك يكون
لو دا جنان، إيه أحلى من الجنون
نتجنن أكتر وأكتر كمان
وأنا معاك ما بخافش من السنين
أنا هروح وياك لو رحت فين
أنا بجيب الجرأة دي منين
غيرت فيا كتير عن زمان

وأنا معاك بعيش وأقدر وأكون
ولا بخاف لو إيه في هواك يكون
لو دا جنان، إيه أحلى من الجنون
نتجنن أكتر وأكتر كمان
وأنا معاك ما بخافش من السنين
أنا هروح وياك لو رحت فين
أنا بجيب الجرأة دي منين
غيرت فيا كتير عن زمان"
2020,سهم,تركي ال شيخ,ىا دلعو,"يا دلعه، آه لما يقول آلو
بعشق صوته وكلامه يا عالم يا هوه
يا دلعه، دا جماله مافيش أخوه
دي عيوني كل ثانية بيحبوا يشوفوه

دا اللي يتقاله كلام حب، ما حدش غيري قاله
دا اللي يتشال جوه القلب ويعمل ما بداله
غاروا منه، ولعوا

يا دلعه، آه لما يقول آلو
بعشق صوته وكلامه يا عالم يا هوه
يا دلعه، دا جماله مافيش أخوه
دي عيوني كل ثانية بيحبوا يشوفوه

أسيبه ليه وأنا روحي بين إيديه
دا أنا من أول ماشفته هتجنن عليه
دا جبروت، خلاني أحبه موت
ودي فرصتي بصراحة مش لازم تفوت

دا اللي يتقاله كلام حب، ما حدش غيري قاله
دا اللي يتشال جوه القلب ويعمل ما بداله
غاروا منه، ولعوا

يا دلعه، آه لما يقول آلو
بعشق صوته وكلامه يا عالم يا هوه
يا دلعه، دا جماله مافيش أخوه
دي عيوني كل ثانية بيحبوا يشوفوه

ليه ليه ليه
ليه ليه ليه ليه
سيبت الدنيا دي وإتعلقت بيه

يا دلعه، آه لما يقول آلو
بعشق صوته وكلامه يا عالم يا هوه
يا دلعه، دا جماله مافيش أخوه
دي عيوني كل ثانية بيحبوا يشوفوه"
2020,تامر عاشور,تركي ال شيخ,من العشم,"من العشم بعاتبك
ومن باب المحبة
عايزك تسمعني حبة
وتفهم قصدي إيه
من العشم بعاتبك
ومن باب المحبة
عايزك تسمعني حبة
وتفهم قصدي إيه

بقى يعني عشان بحبك
يبقى ترد الغلاوة
جرح وبعد وقساوة
قصرت معاك في إيه؟

دا مافيش حد إتعمله
يا حبيبي اللي إتعملك
حلف قلبك وقوله
من بعدي مين فاضلك
دا مافيش حد إتعمله
يا حبيبي اللي إتعملك
حلف قلبك وقوله
من بعدي مين فاضلك
من العشم بعاتبك
ومن باب المحبة
عايزك تسمعني حبة
وتفهم قصدي إيه

راجع نفسك وفكر
قبل الزعل ما يكبر
مش عايز أشيل في قلبي
وأبعد من غير ما أقولك
راجع نفسك وفكر
قبل الزعل ما يكبر
مش عايز أشيل في قلبي
وأبعد من غير ما أقولك

بقى يعني عشان بحبك
يبقى ترد الغلاوة
جرح وبعد وقساوة
قصرت معاك في إيه؟

دا مافيش حد إتعمله
يا حبيبي اللي إتعملك
حلف قلبك وقوله
من بعدي مين فاضلك
دا مافيش حد إتعمله
يا حبيبي اللي إتعملك
حلف قلبك وقوله
من بعدي مين فاضلك
من العشم بعاتبك
ومن باب المحبة
عايزك تسمعني حبة
وتفهم قصدي إيه"
