Song,Lyrics,sentiment_label,sentiment_explanation
مالك,"['مالك', 'خلاص', 'حبيت', 'ناس', 'بقيت', 'بتسال', 'وراهم', 'خلاص', 'حبيت', 'ناس', 'بقيت', 'بتسال', 'وراهم', 'خلاص', 'نسيت', 'ناري', 'الله', 'طب', 'انت', 'مالك', 'ايه', 'شاري', 'ايه', 'جرالك', 'خلاص', 'نسيت', 'ناري', 'الله', 'طب', 'انت', 'مالك', 'ايه', 'شاري', 'ايه', 'جرالك', 'حاسب', 'بيحبوك', 'يعرفوا', 'الحقيقه', 'يعرفوا', 'ان', 'انا', 'بالك', 'دقيقه', 'بيحبوك', 'يعرفوا', 'الحقيقه', 'يعرفوا', 'ان', 'انا', 'بالك', 'دقيقه', 'خلاص', 'نسيت', 'ناري', 'الله', 'طب', 'انت', 'مالك', 'ايه', 'شاري', 'ايه', 'جرالك', 'خلاص', 'نسيت', 'ناري', 'الله', 'طب', 'انت', 'مالك', 'ايه', 'شاري', 'ايه', 'جرالك', 'روحت', 'وجيت', 'مبتنساش', 'هوايا', 'انت', 'شاغل', 'روحك', 'بيا', 'وبتدور', 'ورايا', 'روحت', 'وجيت', 'مبتنساش', 'هوايا', 'انت', 'شاغل', 'روحك', 'بيا', 'وبتدور', 'ورايا', 'خلاص', 'نسيت', 'ناري', 'الله', 'طب', 'انت', 'مالك', 'ايه', 'شاري', 'ايه', 'جرالك', 'خلاص', 'نسيت', 'ناري', 'الله', 'طب', 'انت', 'مالك', 'ايه', 'شاري', 'ايه', 'جرالك']",Mixed,"**Mixed**

The lyrics express a mixture of emotions. There is a sense of loss and resentment (""نسيت ناري"" - forgot my fire), questioning and disbelief (""انت مالك ايه شاري ايه جرالك"" - what's wrong with you, what did you buy, what happened to you?), and a subtle boastfulness (""انت شاغل روحك بيا وبتدور ورايا"" - you are preoccupied with me and looking for me). The repetition of ""خلاص نسيت ناري"" suggests a lingering hurt, while the other phrases indicate a degree of anger and suspicion."
وحیاتي خلیكي,"['غیر', 'اقول', 'اقولها', 'هتعرفي', 'احساسي', 'ايه', 'قلبي', 'هتقربي', 'هتحسي', 'وتصدقيه', 'وحيات', 'عينيكي', 'انتي', 'عاش', 'قلبي', 'انا', 'يدور', 'عليكي', 'وخلاص', 'لقيت', 'ياما', 'حلمت', 'اللحظه', 'وحياتي', 'خليكي', 'قلب', 'دايب', 'فيكي', 'وليل', 'نهار', 'بيقول', 'حبيبي', 'وحياتي', 'خليكي', 'وعينيا', 'تقولها', 'لعينيكي', 'هقول', 'لمين', 'حبيبي', 'هتمني', 'ايه', 'وانتي', 'ايديا', 'اتمني', 'ايه', 'ان', 'قلبي', 'يحضنك', 'وتحضنيه', 'وتحسي', 'وحياتي', 'خليكي', 'قلب', 'دايب', 'فيكي', 'وليل', 'نهار', 'بيقول', 'حبيبي', 'وحياتي', 'خليكي', 'وعينيا', 'تقولها', 'لعينيكي', 'هقول', 'لمين', 'حبيبي', 'وحياتي', 'خليكي', 'وحياتي', 'خليكي']",Positive,"Positive. The lyrics express strong feelings of love, longing, and devotion, using phrases like ""my heart melts for you,"" ""night and day says حبيبي (my love),"" and ""my life, stay with me."" The speaker expresses joy at finding the person they love and fulfilling dreams."
عيني وأنا شايفه,"['انا', 'شايفه', 'عايزه', 'ايه', 'قلبي', 'وانا', 'عارفه', 'قالي', 'روحي', 'انا', 'شايفه', 'عايزه', 'ايه', 'قلبي', 'وانا', 'عارفه', 'قالي', 'روحي', 'ده', 'قلبي', 'انا', 'يرتاح', 'واتعب', 'انا', 'انا', 'انا', 'يهواه', 'زي', 'انا', 'انا', 'شايفه', 'عايزه', 'ايه', 'قلبي', 'وانا', 'عارفه', 'قالي', 'روحي', 'قالي', 'ده', 'حبيبي', 'يبقي', 'اداري', 'ده', 'حبيبي', 'يبقي', 'اسيبه', 'قالي', 'ده', 'حبيبي', 'يبقي', 'اداري', 'ده', 'حبيبي', 'يبقي', 'اسيبه', 'ده', 'قلبي', 'انا', 'يرتاح', 'واتعب', 'انا', 'انا', 'انا', 'يهواه', 'زي', 'انا', 'انا', 'شايفه', 'عايزه', 'ايه', 'قلبي', 'وانا', 'عارفه', 'قالي', 'روحي', 'انا', 'شايفه', 'عايزه', 'ايه', 'قلبي', 'وانا', 'عارفه', 'قالي', 'روحي', 'ده', 'قلبي', 'انا', 'يرتاح', 'واتعب', 'انا', 'قلبي', 'انا', 'فداه', 'عمري', 'انا', 'انا', 'شايفه', 'عايزه', 'ايه', 'قلبي', 'وانا', 'عارفه', 'قالي', 'روحي', 'ده', 'قاله', 'ده', 'باله', 'الله', 'جماله', 'شافوا', 'ايه', 'انا', 'شايفه', 'عايزه', 'ايه', 'قلبي', 'وانا', 'عارفه', 'قالي', 'روحي', 'انا', 'شايفه', 'قلبي', 'وانا', 'عارفه', 'قلبي', 'وانا', 'عارفه', 'قالي', 'روحي']",Positive,"**Mixed**

Explanation: The lyrics express a mix of emotions. There's a sense of longing and desire (""I see what my heart wants,"" ""My heart tells me...""), but also some conflict or struggle (""My heart finds comfort, and I suffer""). The repetition emphasizes both the desire and the internal struggle. The reference to a ""beloved"" indicates a positive emotional focus, but the questions ""Should I hide him? Should I leave him?"" introduce doubt and internal conflict."
آه من الفراق,"['اه', 'الفراق', 'اللي', 'يتفقوا', 'الحبايب', 'يبقوا', 'صحاب', 'اه', 'الفراق', 'اللي', 'بنشوف', 'الحبايب', 'ده', 'اصعب', 'عذاب', 'اصعب', 'عذاب', 'ويا', 'علي', 'بيحب', 'التاني', 'اكتر', 'بيهرب', 'المكان', 'وبيبقي', 'عذابه', 'اكبر', 'ويا', 'علي', 'اللقا', 'غيره', 'وعتاب', 'مفيش', 'الصحاب', 'غيره', 'وعتاب', 'وافقته', 'غصب', 'وافقني', 'غصب', 'بانش', 'ضعف', 'بانش', 'ضعف', 'ومشينا', 'راضي', 'بالاتفاق', 'حزنه', 'وضعفه', 'فاق', 'ويا', 'علي', 'بيحب', 'التاني', 'اكتر', 'بيهرب', 'المكان', 'وبيبقي', 'عذابه', 'اكبر', 'ويا', 'علي', 'اللقا', 'غيره', 'وعتاب', 'مفيش', 'الصحاب', 'غيره', 'وعتاب', 'دلوقتي', 'لقانا', 'هادي', 'يعني', 'شوقنا', 'غايب', 'ويبان', 'كلامنا', 'عادي', 'انه', 'كلام', 'حبايب', 'وان', 'شوفته', 'ويا', 'مطول', 'السلام', 'وشافني', 'شايفه', 'يعند', 'ويطول', 'الكلام', 'ويا', 'علي', 'بيحب', 'التاني', 'اكتر', 'بيهرب', 'المكان', 'وبيبقي', 'عذابه', 'اكبر', 'ويا', 'علي', 'اللقا', 'غيره', 'وعتاب', 'مفيش', 'الصحاب', 'غيره', 'وعتاب', 'ويا', 'علي', 'اللقا', 'غيره', 'وعتاب', 'مفيش', 'الصحاب', 'غيره', 'وعتاب', 'ويا', 'علي', 'اللقا', 'غيره', 'وعتاب', 'مفيش', 'الصحاب', 'غيره', 'وعتاب']",Negative,"**Negative**

The lyrics express sadness, pain, and suffering associated with separation (""الفراق"", ""اصعب عذاب"", ""عذابه اكبر""). The idea of remaining friends after a breakup is presented as difficult and filled with hidden emotions and unspoken grievances (""غيره وعتاب""). The lyrics also convey a sense of loss (""شوقنا غايب"") and forced agreement (""وافقته غصب"", ""وافقني غصب"")."
بعدت ليه,"['بعدت', 'خليتني', 'اخسر', 'اغلي', 'حاجه', 'دنيتي', 'اقابل', 'حاسس', 'غربتي', 'انت', 'اللي', 'عينيا', 'اشوف', 'دايما', 'جاي', 'عايز', 'اعيشه', 'ابدا', 'بعدت', 'خليتني', 'اخسر', 'اغلي', 'حاجه', 'دنيتي', 'اقابل', 'حاسس', 'غربتي', 'انت', 'اللي', 'عينيا', 'اشوف', 'دايما', 'اللي', 'جاي', 'عايز', 'اعيشه', 'ابدا', 'ناس', 'عايشين', 'لراحتي', 'عارف', 'اعيش', 'براحتي', 'انا', 'راحتي', 'وحدتي', 'ناس', 'عايشين', 'لراحتي', 'عارف', 'اعيش', 'براحتي', 'انا', 'راحتي', 'وحدتي', 'وحدتي', 'جاش', 'بالي', 'اني', 'احب', 'الحب', 'عملت', 'ايه', 'فيا', 'ومشيت', 'خليتني', 'اعيش', 'علمت', 'قلبي', 'حلم', 'بيك', 'بيحلمه', 'عرفش', 'ينطق', 'بحبك', 'اتعلمه', 'جاش', 'بالي', 'اني', 'احب', 'الحب', 'عملت', 'ايه', 'فيا', 'ومشيت', 'خليتني', 'اعيش', 'علمت', 'قلبي', 'حلم', 'بيك', 'بيحلمه', 'عرفش', 'ينطق', 'بحبك', 'اللي', 'اتعلمه', 'ناس', 'عايشين', 'لراحتي', 'عارف', 'اعيش', 'براحتي', 'انا', 'راحتي', 'وحدتي', 'ناس', 'عايشين', 'لراحتي', 'عارف', 'اعيش', 'براحتي', 'انا', 'راحتي', 'وحدتي', 'وحدتي', 'ناس', 'عايشين', 'لراحتي', 'عارف', 'اعيش', 'براحتي', 'ده', 'انا', 'راحتي', 'وحدتي', 'ناس', 'عايشين', 'لراحتي', 'عارف', 'اعيش', 'براحتي', 'ده', 'انا', 'راحتي', 'وحدتي', 'ناس', 'عايشين', 'لراحتي', 'عارف', 'اعيش', 'براحتي', 'ده', 'انا', 'راحتي', 'وحدتي', 'ناس', 'عايشين', 'لراحتي', 'وحدتي']",Positive,"**Mixed**

Explanation: The lyrics express a combination of negative feelings (loss, loneliness, feeling lost, pain from love) with a desire for personal comfort in solitude. The phrases like ""بعدت خليتني اخسر اغلي حاجه دنيتي"" (you left and made me lose the most precious thing in my world) indicate sadness and loss, while the repetition of ""راحتي وحدتي"" (my comfort is my solitude) suggests a form of acceptance or even a positive spin on being alone after a painful experience."
ليلي نهاري,"['ليلي', 'نهاري', 'تعالي', 'حبيبي', 'ملامه', 'حبيبي', 'خدني', 'ليك', 'ليلي', 'نهاري', 'تعالي', 'حبيبي', 'قلبي', 'ياما', 'حبيبي', 'خاف', 'ياريت', 'انا', 'اشوفك', 'قصادي', 'ياريت', 'هواك', 'حب', 'عادي', 'ياريت', 'انا', 'اشوفك', 'قصادي', 'ياريت', 'هواك', 'حب', 'عادي', 'جنبك', 'حياتي', 'اجمل', 'حياه', 'ليلي', 'نهاري', 'تعالي', 'حبيبي', 'ملامه', 'حبيبي', 'خدني', 'ليك', 'ليلي', 'نهاري', 'تعالي', 'حبيبي', 'قلبي', 'ياما', 'حبيبي', 'خاف', 'ليلي', 'نهاري', 'تعالي', 'حبيبي', 'ملامه', 'حبيبي', 'خدني', 'ليك', 'ليلي', 'نهاري', 'تعالي', 'حبيبي', 'قلبي', 'ياما', 'حبيبي', 'خاف', 'هحكيلك', 'ايه', 'خلاص', 'انت', 'شايف', 'اقول', 'اكيد', 'انت', 'عارف', 'كلام', 'كتير', 'انا', 'اقوله', 'كلام', 'كتير', 'ياريتك', 'تقوله', 'جنبك', 'حياتي', 'اجمل', 'حياه', 'ليلي', 'نهاري', 'تعالي', 'حبيبي', 'ملامه', 'حبيبي', 'خدني', 'ليك', 'ليلي', 'نهاري', 'تعالي', 'حبيبي', 'قلبي', 'ياما', 'حبيبي', 'خاف', 'ليلي', 'نهاري', 'تعالي', 'حبيبي', 'ملامه', 'حبيبي', 'خدني', 'ليك', 'ليلي', 'نهاري', 'تعالي', 'حبيبي', 'قلبي', 'ياما', 'حبيبي', 'خاف', 'ليلي', 'نهاري', 'تعالي', 'حبيبي', 'ملامه', 'حبيبي', 'خدني', 'ليك', 'ليلي', 'نهاري', 'تعالي', 'حبيبي', 'قلبي', 'ياما', 'حبيبي', 'خاف', 'ليلي', 'نهاري', 'تعالي', 'حبيبي', 'ملامه', 'حبيبي', 'خدني', 'ليك', 'ليلي', 'نهاري', 'تعالي', 'حبيبي', 'قلبي', 'ياما', 'حبيبي', 'خاف']",Positive,"**Mixed**

Explanation: The lyrics contain both positive and negative sentiments. Words like ""حبيبي"" (my love), ""تعالي"" (come), ""اجمل حياة"" (most beautiful life) express positive feelings and longing. However, phrases like ""ملامه"" (blame), ""خاف"" (afraid), and ""ياريت هواك حب عادي"" (I wish your love was normal) suggest fear, worry, and a desire for a simpler love. This blend of positive and negative emotions results in a mixed sentiment."
وحشتيني,"['عيونك', 'شايفها', 'وحاسس', 'ان', 'انا', 'عارفها', 'سبيني', 'براحتي', 'اوصفها', 'مكسوفه', 'كانك', 'بقالك', 'عمر', 'ويايا', 'الصوره', 'جوايا', 'ايه', 'سنين', 'شايفك', 'احلامي', 'بنادي', 'عليكي', 'ضميني', 'ليالي', 'عايش', 'ومستنيكي', 'تحيني', 'وحشتيني', 'وحشتيني', 'سنين', 'علي', 'ليالي', 'عايش', 'ومستنيكي', 'تحيني', 'وحشتيني', 'وحشتيني', 'سنين', 'علي', 'ليالي', 'عايش', 'ومستنيكي', 'تحيني', 'اجمل', 'هديه', 'بعتهالي', 'القدر', 'ليا', 'قمري', 'عز', 'لياليا', 'اوصفلك', 'ايه', 'والله', 'والدنيا', 'بقت', 'عينيا', 'حاجه', 'تانيه', 'هواكي', 'قابلته', 'ثانيه', 'جريت', 'سنين', 'شايفك', 'احلامي', 'بنادي', 'عليكي', 'ضميني', 'ليالي', 'عايش', 'ومستنيكي', 'تحيني', 'وحشتيني', 'وحشتيني', 'سنين', 'علي', 'ليالي', 'عايش', 'ومستنيكي', 'تحيني', 'وحشتيني', 'وحشتيني', 'سنين', 'علي', 'ليالي', 'عايش', 'ومستنيكي', 'تحيني', 'بحبك', 'هقولها', 'ريت', 'اما', 'اكملها', 'تعالي', 'حضني', 'ونقولها', 'احنا', 'الاتنين', 'وحشتيني', 'وحشتيني', 'سنين', 'علي', 'ليالي', 'عايش', 'ومستنيكي', 'تحيني', 'وحشتيني', 'وحشتيني', 'سنين', 'علي', 'ليالي', 'عايش', 'ومستنيكي', 'تحيني', 'وحشتيني', 'وحشتيني', 'سنين', 'علي', 'ليالي', 'عايش', 'ومستنيكي', 'تحيني', 'وحشتيني', 'وحشتيني', 'سنين', 'علي', 'ليالي']",Positive,"**Positive**

The lyrics express longing, love, and admiration. Words like ""اجمل هديه"" (most beautiful gift), ""قمري"" (my moon), ""هواكي"" (your love), ""بحبك"" (I love you), and the repeated ""وحشتيني"" (I missed you) clearly indicate a positive sentiment. The speaker describes a cherished image and expresses anticipation for a reunion."
تنسى واحدة,"['قلبي', 'بتحب', 'واحده', 'لاقي', 'عايزه', 'اي', 'واحده', 'قلبي', 'بتحب', 'واحده', 'لاقي', 'عايزه', 'اي', 'واحده', 'اول', 'انك', 'لقيتها', 'نهايه', 'بحس', 'انك', 'نسيتها', 'بتهرب', 'الحقيقه', 'قلبي', 'تنسي', 'واحده', 'اي', 'واحده', 'بتقابلها', 'بتبقي', 'حاسه', 'انت', 'جايلها', 'انت', 'جاي', 'تنسي', 'اي', 'واحده', 'بتقابلها', 'بتبقي', 'حاسه', 'انت', 'جايلها', 'انت', 'جاي', 'تنسي', 'انت', 'عارف', 'حتي', 'تعشق', 'انت', 'وانت', 'ويا', 'بتفتكرها', 'بتهرب', 'الحقيقه', 'قلبي', 'تنسي', 'واحده', 'قلت', 'هنسي', 'قلت', 'عمري', 'هرجع', 'هتعمل', 'ايه', 'دلوقتي', 'تحب', 'ترجع', 'قلت', 'هنسي', 'قلت', 'عمري', 'هرجع', 'هتعمل', 'ايه', 'دلوقتي', 'تحب', 'ترجع', 'وهمت', 'الناس', 'قلبي', 'انك', 'ناسيها', 'والحقيقه', 'ان', 'انت', 'عايش', 'ليها', 'بتهرب', 'الحقيقه', 'قلبي', 'تنسي', 'واحده']",Positive,"**Mixed**

Explanation: The lyrics express a conflict between wanting to forget someone (""تنسي واحده"" - forget one) and being unable to (""بتهرب الحقيقه"" - escaping the truth), suggesting a lingering affection. The phrase ""قلبي بتحب واحده"" (my heart loves one) directly indicates positive feelings, yet the repeated desire to forget her points towards sadness or pain associated with the relationship."
خد قلبي معاه,"['خد', 'قلبي', 'معاه', 'حبيبي', 'اقدرش', 'انساه', 'حبيبي', 'املي', 'اني', 'اعيش', 'وياه', 'وياه', 'حبيبي', 'خد', 'قلبي', 'معاه', 'حبيبي', 'اقدرش', 'انساه', 'حبيبي', 'جرحي', 'دواه', 'دواه', 'يومها', 'اول', 'كلمني', 'والله', 'دريتش', 'انا', 'فجاه', 'طلع', 'الكلام', 'قلته', 'شفت', 'الغرام', 'عينيه', 'حبيبي', 'خد', 'قلبي', 'معاه', 'حبيبي', 'اقدرش', 'انساه', 'حبيبي', 'املي', 'اني', 'اعيش', 'وياه', 'وياه', 'حبيبي', 'خد', 'قلبي', 'معاه', 'حبيبي', 'اقدرش', 'انساه', 'حبيبي', 'جرحي', 'دواه', 'دواه', 'حبه', 'خلاني', 'القي', 'للدنيا', 'طعم', 'جديد', 'عاشق', 'احلامي', 'واخداني', 'تايه', 'حيران', 'بعيد', 'حبيبي', 'خد', 'قلبي', 'معاه', 'حبيبي', 'اقدرش', 'انساه', 'حبيبي', 'املي', 'اني', 'اعيش', 'وياه', 'وياه', 'حبيبي', 'خد', 'قلبي', 'معاه', 'حبيبي', 'اقدرش', 'انساه', 'حبيبي', 'املي', 'اني', 'اعيش', 'وياه', 'وياه', 'حبيبي', 'اقدرش', 'انساه', 'خد', 'قلبي', 'معاه', 'حبيبي', 'مقدرش', 'انساه', 'حبيبي', 'املي', 'اني', 'اعيش', 'وياه', 'وياه', 'حبيبي', 'خد', 'قلبي', 'معاه', 'حبيبي', 'مقدرش', 'انساه', 'حبيبي', 'جرحي', 'دواه', 'دواه', 'حبيبي', 'املي', 'اني', 'اعيش', 'وياه', 'وياه', 'حبيبي', 'خد', 'قلبي', 'معاه', 'حبيبي', 'اقدرش', 'انساه', 'حبيبي', 'خد', 'قلبي', 'معاه', 'حبيبي', 'اقدرش', 'انساه', 'حبيبي', 'املي', 'اني', 'اعيش', 'وياه', 'وياه']",Positive,"**Positive**

The lyrics express strong feelings of love and longing. Phrases like ""خد قلبي معاه"" (He took my heart with him), ""حبيبي"" (my beloved), ""املي اني اعيش وياه"" (My hope is to live with him), and ""حبه خلاني القي للدنيا طعم جديد"" (His love made me find a new taste for life) indicate a positive sentiment centered around deep affection and the joy brought by love. Even the mention of ""جرحي دواه"" (He is the cure for my wound) implies that the beloved is a source of healing and comfort, reinforcing the positive overall tone."
يدق الباب,"['يدق', 'اقول', 'اقول', 'رجعت', 'خلاص', 'ليا', 'يدق', 'اقول', 'اقول', 'رجعت', 'خلاص', 'ليا', 'وتخلص', 'غربتي', 'وافرح', 'واخاف', 'فرحتي', 'افتح', 'لاعبه', 'الظنون', 'بيا', 'وتطلع', 'يدق', 'اقول', 'اقول', 'رجعت', 'خلاص', 'ليا', 'وماشي', 'بقول', 'وايه', 'يمنع', 'تحن', 'لحبها', 'وترجع', 'وماشي', 'بقول', 'وايه', 'يمنع', 'تحن', 'لحبها', 'وترجع', 'لقيتها', 'جايه', 'بتقرب', 'وقفت', 'بشوقي', 'مستغرب', 'لاعبه', 'الظنون', 'بيا', 'وتطلع', 'يدق', 'اقول', 'اقول', 'رجعت', 'خلاص', 'ليا', 'قلبي', 'داب', 'دقاته', 'واه', 'الشوق', 'واوقاته', 'قلبي', 'داب', 'دقاته', 'واه', 'الشوق', 'واوقاته', 'خدني', 'الوهم', 'مره', 'مره', 'تلعبش', 'الظنون', 'بيا', 'وتطلع', 'يدق', 'اقول', 'اقول', 'رجعت', 'خلاص', 'ليا', 'يدق', 'اقول', 'اقول', 'رجعت', 'خلاص', 'ليا']",Positive,"**Mixed**

The lyrics express a mix of hope and fear. The repetition of ""رجعت خلاص ليا"" (she returned to me) and feelings of happiness (""وافرح"") indicate a positive sentiment. However, the presence of doubt (""الظنون"", ""واخاف"", ""الوهم"") and the phrase ""تلعبش الظنون بيا"" (the doubts play with me) introduces a negative element of anxiety and uncertainty. The lyrics also express longing and a melting heart (""قلبي داب""), which adds a layer of melancholic yearning."
دايماً في بالي,"['عيونه', 'نادوني', 'العالم', 'خدوني', 'معرفش', 'ازاي', 'شغلوني', 'انا', 'ايه', 'جرالي', 'انا', 'خدني', 'جمالك', 'واتغير', 'حالي', 'وحالك', 'انا', 'جيتش', 'بالك', 'طب', 'اثبتها', 'ودايما', 'والله', 'بالي', 'اه', 'غايب', 'ليالي', 'دايما', 'والله', 'بالي', 'ليله', 'بنساك', 'دايما', 'والله', 'بالي', 'اه', 'غايب', 'ليالي', 'ويلي', 'الشوق', 'غالي', 'ويلي', 'هواك', 'دايما', 'والله', 'بالي', 'اه', 'غايب', 'ليالي', 'دايما', 'والله', 'بالي', 'ليله', 'بنساك', 'دايما', 'والله', 'بالي', 'اه', 'غايب', 'ليالي', 'ويلي', 'الشوق', 'غالي', 'ويلي', 'هواك', 'منور', 'دنيايا', 'ومصحي', 'الشوق', 'جوايا', 'حبيبي', 'قمر', 'سمايا', 'بستني', 'معاده', 'انا', 'شفت', 'كتير', 'بكفايه', 'اما', 'انت', 'لوحدك', 'ايه', 'قمري', 'اما', 'ايه', 'حكايه', 'كانتش', 'بالي', 'ودايما', 'والله', 'بالي', 'اه', 'غايب', 'ليالي', 'دايما', 'والله', 'بالي', 'ليله', 'بنساك', 'دايما', 'والله', 'بالي', 'اه', 'غايب', 'ليالي', 'ويلي', 'الشوق', 'غالي', 'ويلي', 'هواك', 'دايما', 'والله', 'بالي', 'اه', 'غايب', 'ليالي', 'دايما', 'والله', 'بالي', 'ليله', 'بنساك', 'دايما', 'والله', 'بالي', 'اه', 'غايب', 'ليالي', 'ويلي', 'الشوق', 'غالي', 'ويلي', 'هواك', 'انا', 'خدني', 'جمالك', 'واتغير', 'حالي', 'وحالك', 'انا', 'جيتش', 'بالك', 'طب', 'اثبتها', 'دايما', 'والله', 'بالي', 'اه', 'غايب', 'ليالي', 'دايما', 'والله', 'بالي', 'ليله', 'بنساك', 'دايما', 'والله', 'بالي', 'اه', 'غايب', 'ليالي', 'ويلي', 'الشوق', 'غالي', 'ويلي', 'هواك', 'دايما', 'والله', 'بالي', 'اه', 'غايب', 'ليالي', 'دايما', 'والله', 'بالي', 'ليله', 'بنساك', 'دايما', 'والله', 'بالي', 'اه', 'غايب', 'ليالي', 'ويلي', 'الشوق', 'غالي', 'ويلي', 'هواك']",Positive,"**Positive**

Explanation: The lyrics express strong feelings of love, longing, and admiration. Words like ""جمالك"" (your beauty), ""حبيبي"" (my love), ""قمر سمايا"" (moon of my sky), ""منور دنيايا"" (illuminating my world), and phrases about being captivated by their eyes and love all point to a positive sentiment. While there's also a hint of longing and perhaps unrequited affection (""انا جيتش بالك"" - ""I didn't cross your mind""), the overwhelming feeling is positive infatuation."
خلينا نشوفك,"['تسبنيش', 'حتي', 'ثواني', 'اغيب', 'استناني', 'انا', 'وحياتك', 'اشوفك', 'بحلم', 'امتي', 'هشوفك', 'خلينا', 'نشوفك', 'انا', 'وعينيا', 'شويه', 'حبيبي', 'انا', 'خلينا', 'نشوفك', 'قرب', 'ليا', 'فكر', 'فيا', 'حبيبي', 'انا', 'تسبنيش', 'حتي', 'ثواني', 'ثواني', 'ثواني', 'اغيب', 'استناني', 'حبيبي', 'استناني', 'انا', 'وحياتك', 'اشوفك', 'بحلم', 'امتي', 'هشوفك', 'فات', 'حبيبي', 'اقابلك', 'تقولي', 'ازاي', 'ندورش', 'قلبي', 'يلومني', 'يقولي', 'انا', 'وانت', 'عايشين', 'خلينا', 'نشوفك', 'انا', 'وعينيا', 'شويه', 'حبيبي', 'انا', 'خلينا', 'نشوفك', 'قرب', 'ليا', 'فكر', 'فيا', 'حبيبي', 'انا', 'ماتسبنيش', 'حتي', 'ثواني', 'ثواني', 'ثواني', 'اغيب', 'استناني', 'حبيبي', 'استناني', 'انا', 'وحياتك', 'اشوفك', 'بحلم', 'امتي', 'هشوفك', 'ببقي', 'معاك', 'شوقي', 'بقول', 'خيال', 'واحلم', 'اني', 'اقولك', 'اكتر', 'اتقال', 'يدوب', 'هواك', 'عمره', 'يهداله', 'بال', 'خلينا', 'نشوفك', 'انا', 'وعينيا', 'شويه', 'حبيبي', 'انا', 'خلينا', 'نشوفك', 'قرب', 'ليا', 'فكر', 'فيا', 'حبيبي', 'انا', 'تسبنيش', 'حتي', 'ثواني', 'ثواني', 'ثواني', 'اغيب', 'استناني', 'حبيبي', 'استناني', 'تسبنيش', 'حتي', 'ثواني', 'اه', 'اغيب', 'استناني', 'اه', 'اه', 'تسبنيش', 'حتي', 'ثواني', 'اه', 'ثواني', 'اغيب', 'استناني']",Positive,"**Positive**

The lyrics express longing, dreaming of seeing a loved one, and asking them to stay and think of the speaker. The repeated use of ""Habibi"" (my love) and phrases like ""I dream of seeing you"" and ""Don't leave me"" indicate a strong positive emotional connection and desire."
قصاد عيني,"['وبينا', 'معاد', 'احنا', 'بعاد', 'اكيد', 'راجع', 'بلاد', 'وبينا', 'معاد', 'احنا', 'بعاد', 'اكيد', 'راجع', 'بلاد', 'قصاد', 'مكان', 'قصاد', 'مكان', 'اكيد', 'راجعين', 'انا', 'دايب', 'حنين', 'عمري', 'ابيع', 'قصاد', 'قادر', 'علي', 'الايام', 'هيوصف', 'هوايا', 'كلام', 'وطول', 'ليلي', 'بنام', 'قصاد', 'قصاد', 'مكان', 'قصاد', 'مكان', 'هنعود', 'بينا', 'وعود', 'غيابه', 'اكيد', 'الامل', 'موجود', 'هنعود', 'بينا', 'وعود', 'غيابه', 'اكيد', 'الامل', 'موجود', 'قصاد', 'مكان', 'قصاد', 'مكان', 'اكيد', 'راجعين', 'انا', 'دايب', 'حنين', 'عمري', 'ابيع', 'قصاد', 'قادر', 'علي', 'الايام', 'هيوصف', 'هوايا', 'كلام', 'وطول', 'ليلي', 'بنام', 'قصاد', 'قصاد', 'مكان', 'قصاد', 'مكان', 'اكيد', 'راجعين', 'انا', 'دايب', 'حنين', 'عمري', 'ابيع', 'قصاد', 'قادر', 'علي', 'الايام', 'هيوصف', 'هوايا', 'كلام', 'وطول', 'ليلي', 'بنام', 'قصاد', 'قصاد', 'مكان', 'قصاد', 'مكان', 'قصاد', 'مكان']",Mixed,"**Mixed**

The lyrics express a longing and sadness of separation (""بعاد"", ""دايب حنين"", ""غيابه""), but also hope and anticipation of reunion (""وبينا معاد"", ""راجع"", ""هنعود"", ""الامل موجود""). The phrase ""عمري ابيع قصاد"" suggests a willingness to sacrifice anything for this reunion. This combination of contrasting emotions leads to a mixed sentiment."
