Song,Lyrics,emotion_label,emotion_explanation
يا حبيبي لا,"['معقول', 'هقولك', 'روح', 'اكون', 'مجروح', 'باقي', 'علي', 'حاجه', 'ده', 'انت', 'عارف', 'معقول', 'تصدق', 'ابيع', 'اتوه', 'اضيع', 'اخافش', 'حاجه', 'انت', 'عارف', 'هحس', 'بمين', 'معقوله', 'حب', 'سنين', 'يخلص', 'غمضه', 'حبيبي', 'والف', 'انا', 'قلبي', 'غيابك', 'تاه', 'بالكلام', 'ننسي', 'الالام', 'كانش', 'عاشق', 'اه', 'معقول', 'حبيبي', 'مشيت', 'معقول', 'فاكرني', 'نسيت', 'قلبي', 'حاجه', 'جرحه', 'قالهالك', 'انا', 'بقول', 'بقصد', 'كلامي', 'يطول', 'حاجه', 'اسمعها', 'اصفالك', 'هحس', 'بمين', 'معقوله', 'حب', 'سنين', 'يخلص', 'غمضه', 'حبيبي', 'والف', 'انا', 'قلبي', 'غيابك', 'تاه', 'بالكلام', 'ننسي', 'الالام', 'ماكانش', 'عاشق', 'اه', 'والف', 'انا', 'قلبي', 'غيابك', 'تاه', 'بالكلام', 'ننسي', 'الالام', 'ماكانش', 'عاشق', 'اه', 'والف', 'انا', 'قلبي', 'غيابك', 'تاه', 'بالكلام', 'ننسي', 'الالام', 'كانش', 'عاشق', 'اه', 'والف', 'انا', 'قلبي', 'غيابك', 'تاه', 'بالكلام', 'ننسي', 'الالام', 'ماكانش', 'عاشق', 'اه']",Sadness,"**Sadness/Disappointment**

The lyrics express disbelief and pain over a lost love. Words like ""مجروح"" (wounded), ""غيابك تاه"" (your absence is lost/confused), ""ننسي الالام"" (forget the pain), and the repeated question ""معقول"" (is it reasonable/possible?) indicate a deep sense of sadness and disappointment in the aftermath of a breakup."
راجعين,"['راجعين', 'نعشق', 'وندوب', 'ونعيش', 'حياتنا', 'راجعين', 'يفيدش', 'هروب', 'شوقنا', 'حكاياتنا', 'راجعين', 'نعشق', 'وندوب', 'ونعيش', 'حياتنا', 'راجعين', 'يفيدش', 'هروب', 'شوقنا', 'حكاياتنا', 'وتعالي', 'تعالي', 'تعالي', 'العمر', 'تعالي', 'وتعالي', 'تعالي', 'تعالي', 'العمر', 'تعالي', 'انا', 'عشته', 'عمري', 'محسوب', 'وحلفت', 'اني', 'هفارق', 'وهعيش', 'عينيك', 'لقيتني', 'عاشق', 'انا', 'روحي', 'لقيتها', 'وحلفت', 'اني', 'هفارق', 'وهعيش', 'عينيك', 'لقيتني', 'عاشق', 'انا', 'روحي', 'لقيتها', 'وتعالي', 'تعالي', 'تعالي', 'العمر', 'تعالي', 'وتعالي', 'تعالي', 'تعالي', 'العمر', 'تعالي', 'انا', 'عشته', 'عمري', 'محسوب', 'حبيبي', 'بلاش', 'نعاتب', 'ونجيب', 'سيره', 'فات', 'مفيش', 'الحبايب', 'احلي', 'الذكريات', 'حبيبي', 'بلاش', 'نعاتب', 'ونجيب', 'سيره', 'اللي', 'فات', 'مفيش', 'الحبايب', 'احلي', 'الذكريات', 'وتعالي', 'تعالي', 'تعالي', 'العمر', 'تعالي', 'وتعالي', 'تعالي', 'تعالي', 'العمر', 'تعالي', 'انا', 'عشته', 'عمري', 'محسوب', 'راجعين', 'نعشق', 'وندوب', 'ونعيش', 'حياتنا', 'راجعين', 'يفيدش', 'هروب', 'شوقنا', 'حكاياتنا', 'راجعين', 'نعشق', 'وندوب', 'ونعيش', 'حياتنا', 'راجعين', 'يفيدش', 'هروب', 'شوقنا', 'حكاياتنا', 'وتعالي', 'تعالي', 'تعالي', 'العمر', 'تعالي', 'وتعالي', 'تعالي', 'تعالي', 'العمر', 'تعالي', 'انا', 'عشته', 'عمري', 'محسوب', 'نعشق', 'وندوب', 'ونعيش', 'حياتنا', 'راجعين', 'يفيدش', 'هروب', 'شوقنا', 'حكاياتنا', 'نعشق', 'وندوب', 'ونعيش', 'حياتنا', 'راجعين', 'يفيدش', 'هروب', 'شوقنا', 'حكاياتنا', 'نعشق', 'وندوب', 'ونعيش', 'حياتنا', 'راجعين', 'يفيدش', 'هروب', 'شوقنا', 'حكاياتنا', 'نعشق', 'وندوب', 'ونعيش', 'حياتنا', 'راجعين', 'يفيدش', 'هروب', 'شوقنا', 'حكاياتنا', 'نعشق', 'وندوب', 'ونعيش', 'حياتنا', 'راجعين', 'يفيدش', 'هروب', 'شوقنا', 'حكاياتنا']",Love,"**Love/Nostalgia/Hope (Mixed)**

The lyrics express a strong desire to return to a past love (""راجعين"" - returning), a willingness to forgive past grievances (""بلاش نعاتب"" - let's not reproach), and a yearning for a shared future (""تعالي"" - come, ""نعيش حياتنا"" - live our life""). The phrase ""احلي الذكريات"" (the best memories) evokes nostalgia. The overall feeling is one of hopeful reconciliation fueled by love."
ما يتحكيش عليها,"['يتحكيش', 'الملايكه', 'اما', 'تشوفها', 'وردايه', 'تحلم', 'تقطفها', 'الملايكه', 'اما', 'تشوفها', 'وردايه', 'تحلم', 'تقطفها', 'يتحكيش', 'انا', 'فاكر', 'يومها', 'ساعه', 'بكلمها', 'انا', 'فاكر', 'يومها', 'ساعه', 'بكلمها', 'ضحكتها', 'وعنيها', 'يتحكيش', 'الملايكه', 'اما', 'تشوفها', 'وردايه', 'تحلم', 'تقطفها', 'الملايكه', 'اما', 'تشوفها', 'وردايه', 'تحلم', 'تقطفها', 'يتحكيش', 'انا', 'فاكر', 'يومها', 'ساعه', 'بكلمها', 'انا', 'فاكر', 'يومها', 'ساعه', 'بكلمها', 'ضحكتها', 'وعنيها', 'اجمل', 'مافيها', 'اللي', 'واخدني', 'ضحكه', 'بريئه', 'تواعدني', 'اجمل', 'مافيها', 'اللي', 'واخدني', 'ضحكه', 'بريئه', 'تواعدني', 'حاجات', 'كتير', 'بحلم', 'بيها', 'انا', 'زمان', 'مستنيها', 'حاجات', 'كتير', 'بحلم', 'بيها', 'انا', 'زمان', 'مستنيها', 'لكني', 'هحكيها', 'يتحكيش', 'الملايكه', 'اما', 'تشوفها', 'وردايه', 'تحلم', 'تقطفها', 'الملايكه', 'اما', 'تشوفها', 'وردايه', 'تحلم', 'تقطفها', 'يتحكيش', 'انا', 'فاكر', 'يومها', 'ساعه', 'بكلمها', 'انا', 'فاكر', 'يومها', 'ساعه', 'بكلمها', 'ضحكتها', 'وعنيها', 'حلم', 'عمري', 'لقيته', 'اتمنيته', 'حلم', 'عمري', 'لقيته', 'اتمنيته', 'حبتها', 'زي', 'ماهي', 'ضحكتها', 'ضحكه', 'عاديه', 'حبتها', 'زي', 'ماهي', 'ضحكتها', 'ضحكه', 'عاديه', 'توصفها', 'تلاقيها', 'يتحكيش', 'الملايكه', 'اما', 'تشوفها', 'وردايه', 'تحلم', 'تقطفها', 'الملايكه', 'اما', 'تشوفها', 'وردايه', 'تحلم', 'تقطفها', 'يتحكيش', 'انا', 'فاكر', 'يومها', 'ساعه', 'بكلمها', 'انا', 'فاكر', 'يومها', 'ساعه', 'بكلمها', 'ضحكتها', 'وعنيها']",Love,"**Love**

The lyrics express deep admiration and fondness for someone. Phrases like ""The angels wish to pluck her like a rose,"" ""Her laughter and her eyes,"" ""I loved her as she is,"" and ""The most beautiful thing about her, her innocent smile"" all point to feelings of love and infatuation. There's also a sense of dreaming and longing associated with this person."
إنسى قلبي,"['انسي', 'قلبي', 'تنسي', 'زيد', 'في', 'قلبك', 'نار', 'وقسوه', 'قلبي', 'بيحب', 'الحياه', 'بكره', 'يلقي', 'هواه', 'ويرسي', 'انسي', 'قلبي', 'تنسي', 'زيد', 'في', 'قلبك', 'نار', 'وقسوه', 'قلبي', 'بيحب', 'الحياه', 'بكره', 'يلقي', 'هواه', 'ويرسي', 'اياك', 'تفكر', 'قلبي', 'يعني', 'هيتوه', 'طريقه', 'بايعني', 'اياك', 'تفكر', 'قلبي', 'يعني', 'هيتوه', 'طريقه', 'بايعني', 'بكره', 'تجري', 'سنين', 'وراه', 'وارفضك', 'والكون', 'سامعني', 'وانسي', 'قلبي', 'تنسي', 'زيد', 'في', 'قلبك', 'نار', 'وقسوه', 'قلبي', 'بيحب', 'الحياه', 'بكره', 'يلقي', 'هواه', 'ويرسي', 'اخر', 'كلام', 'هسمعك', 'تناديني', 'اخر', 'كلام', 'هسمعك', 'تناديني', 'مره', 'وقلبي', 'تاه', 'هواك', 'حنيني', 'وانسي', 'قلبي', 'تنسي', 'زيد', 'في', 'قلبك', 'نار', 'وقسوه', 'قلبي', 'بيحب', 'الحياه', 'بكره', 'يلقي', 'هواه', 'ويرسي', 'وانسي', 'قلبي', 'تنسي', 'زيد', 'في', 'قلبك', 'نار', 'وقسوه', 'قلبي', 'بيحب', 'الحياه', 'بكره', 'يلقي', 'هواه', 'ويرسي', 'وانسي', 'قلبي', 'تنسي', 'زيد', 'في', 'قلبك', 'نار', 'وقسوه', 'قلبي', 'بيحب', 'الحياه', 'بكره', 'يلقي', 'هواه', 'ويرسي', 'بكره', 'يلقي', 'هواه', 'ويرسي']",Love,"**Resilience/Defiance:** The lyrics are a rejection of a past love and a declaration of future happiness. There's a sense of strength in moving on (""Forget me, my heart forgets you""), a prediction of future regret from the other person (""Tomorrow years will run after him, and I will refuse you""), and an overall resolve to find happiness (""My heart loves life, tomorrow he will find his love and settle"")."
ورجعت من السفر,"['ورجعت', 'السفر', 'دايب', 'الفراق', 'ورجعت', 'السفر', 'دايب', 'الفراق', 'مشتاق', 'لعيون', 'حبيبي', 'وللحظه', 'اشتياق', 'ورجعت', 'السفر', 'دايب', 'الفراق', 'مشتاق', 'لعيون', 'حبيبي', 'وللحظه', 'اشتياق', 'لقيت', 'ورقه', 'وكلمه', 'وداع', 'لقيت', 'ورقه', 'وكلمه', 'وداع', 'سابتني', 'عشانها', 'دقت', 'سنين', 'الضياع', 'سابتني', 'عشانها', 'دقت', 'سنين', 'الضياع', 'فاكرها', 'ملاك', 'فاكرها', 'ملاك', 'فاكرها', 'ملاك', 'طلعت', 'بشر', 'قلبي', 'سافر', 'واتحمل', 'وانتظر', 'ولمين', 'اهاتي', 'وليالي', 'كتير', 'سهر', 'قلبي', 'سافر', 'واتحمل', 'وانتظر', 'ولمين', 'اهاتي', 'وليالي', 'كتير', 'سهر', 'وكلام', 'حب', 'جواب', 'وسنين', 'وعذاب', 'وكلام', 'حب', 'جواب', 'وسنين', 'وعذاب', 'ماصعبش', 'قلبي', 'عمري', 'اللي', 'انهدر', 'ورجعت', 'السفر', 'دايب', 'الفراق', 'مشتاق', 'لعيون', 'حبيبي', 'وللحظه', 'اشتياق', 'ورجعت', 'السفر', 'دايب', 'الفراق', 'مشتاق', 'لعيون', 'حبيبي', 'وللحظه', 'اشتياق', 'لقيت', 'ورقه', 'وكلمه', 'وداع', 'لقيت', 'ورقه', 'وكلمه', 'وداع', 'سابتني', 'عشانها', 'دقت', 'سنين', 'الضياع', 'سابتني', 'عشانها', 'دقت', 'سنين', 'الضياع', 'فاكرها', 'ملاك', 'فاكرها', 'ملاك', 'فاكرها', 'ملاك', 'طلعت', 'بشر', 'قلبي', 'طار', 'ورفرف', 'فجاه', 'لقيته', 'اتسجن', 'ازاي', 'يبقي', 'غريب', 'واحنا', 'حضن', 'الوطن', 'قلبي', 'طار', 'ورفرف', 'فجاه', 'لقيته', 'اتسجن', 'ازاي', 'يبقي', 'غريب', 'واحنا', 'حضن', 'الوطن', 'الحلم', 'ثانيه', 'باقي', 'جراح', 'الحلم', 'ثانيه', 'باقي', 'جراح', 'وذكريات', 'حزينه', 'تعيش', 'طول', 'الزمن', 'ورجعت', 'السفر', 'دايب', 'الفراق', 'ورجعت', 'السفر', 'دايب', 'الفراق', 'مشتاق', 'لعيون', 'حبيبي', 'وللحظه', 'اشتياق', 'ورجعت', 'السفر', 'دايب', 'الفراق', 'مشتاق', 'لعيون', 'حبيبي', 'وللحظه', 'اشتياق', 'لقيت', 'ورقه', 'وكلمه', 'وداع', 'لقيت', 'ورقه', 'وكلمه', 'وداع', 'سابتني', 'عشانها', 'دقت', 'سنين', 'الضياع', 'سابتني', 'عشانها', 'دقت', 'سنين', 'الضياع', 'فاكرها', 'ملاك', 'فاكرها', 'ملاك', 'فاكرها', 'ملاك', 'طلعت', 'بشر']",Sadness,"**Mixed:** The song expresses a blend of longing/nostalgia (""مشتاق لعيون حبيبي"" - longing for the eyes of my beloved, ""وللحظه اشتياق"" - and a moment of longing), sadness/heartbreak (""وداع"" - farewell, ""سابتني"" - she left me, ""سنين الضياع"" - years of loss, ""جراح"" - wounds, ""وذكريات حزينه"" - sad memories) and betrayal (""طلعت بشر"" - turned out to be human, implying disappointment that she wasn't the angel he thought)."
هنساك أنا,"['بتقولي', 'نرجع', 'للمكتوب', 'طب', 'فين', 'وانا', 'دايب', 'دوب', 'بتقولي', 'نرجع', 'للمكتوب', 'طب', 'فين', 'وانا', 'دايب', 'دوب', 'انده', 'عليا', 'اسال', 'عينيا', 'انده', 'عليا', 'اسال', 'عينيا', 'اه', 'اه', 'هنساك', 'انا', 'بتقولي', 'نرجع', 'للمكتوب', 'طب', 'فين', 'وانا', 'دايب', 'دوب', 'هواك', 'ناري', 'ناري', 'وانت', 'داري', 'داري', 'هواك', 'ناري', 'ناري', 'وانت', 'داري', 'داري', 'وتقول', 'حبيبي', 'وازاي', 'حبيبي', 'وانت', 'ناسيني', 'في', 'عز', 'الاه', 'انده', 'عليا', 'اسال', 'عينيا', 'انده', 'عليا', 'اسال', 'عينيا', 'اه', 'اه', 'هنساك', 'انا', 'بتقولي', 'نرجع', 'للمكتوب', 'طب', 'فين', 'وانا', 'دايب', 'دوب', 'هنعيده', 'هنحب', 'هنعيده', 'هنحب', 'كفايه', 'مره', 'خليها', 'ذكري', 'انا', 'بكره', 'هعيش', 'وياك', 'انده', 'عليا', 'اسال', 'عينيا', 'انده', 'عليا', 'اسال', 'عينيا', 'اه', 'اه', 'هنساك', 'انا', 'بتقولي', 'نرجع', 'للمكتوب', 'طب', 'فين', 'وانا', 'دايب', 'دوب', 'بتقولي', 'نرجع', 'للمكتوب', 'طب', 'فين', 'وانا', 'دايب', 'دوب', 'انده', 'عليا', 'شاغل', 'عينيا', 'انده', 'عليا', 'شاغل', 'عينيا', 'اه', 'اه', 'هنساك', 'انا']",Love,"**Heartbreak/Pain:** The lyrics express being ""melted"" or ""consumed"" (دايب دوب), questioning the possibility of returning to what's ""written"" (fate/destiny), feeling forgotten while still in love, and the resolve to forget (""هنساك انا"") and move on from a painful situation. There's also a sense of exasperation and refusal to repeat the experience."
صدقتني,"['صدقتني', 'ان', 'انت', 'عليا', 'غالي', 'صدقتني', 'وعرفت', 'ايه', 'معني', 'انشغالي', 'صدقتني', 'ان', 'انت', 'عليا', 'غالي', 'صدقتني', 'وعرفت', 'ايه', 'معني', 'انشغالي', 'صدقت', 'محتاج', 'تفكر', 'عايزني', 'اقولك', 'اكتر', 'صدقت', 'محتاج', 'تفكر', 'عايزني', 'اقولك', 'اكتر', 'والله', 'علي', 'بالي', 'بيجرالي', 'والله', 'علي', 'بالي', 'بيجرالي', 'صدقتني', 'وعرفت', 'ايه', 'معني', 'انشغالي', 'قلبي', 'عاش', 'هواك', 'مبقاش', 'خلاص', 'ملكي', 'بقي', 'ليل', 'نهار', 'وياك', 'فرحته', 'بيبكي', 'قلبي', 'عاش', 'هواك', 'مبقاش', 'خلاص', 'ملكي', 'بقي', 'ليل', 'نهار', 'وياك', 'فرحته', 'بيبكي', 'صدقت', 'محتاج', 'تفكر', 'عايزني', 'اقولك', 'اكتر', 'صدقت', 'محتاج', 'تفكر', 'عايزني', 'اقولك', 'اكتر', 'والله', 'علي', 'بالي', 'بيجرالي', 'والله', 'علي', 'بالي', 'بيجرالي', 'صدقتني', 'وعرفت', 'ايه', 'معني', 'انشغالي', 'بايدي', 'اعيش', 'عمرين', 'علي', 'عمري', 'انا', 'اخلي', 'عينيك', 'تملك', 'زمام', 'امري', 'بايدي', 'اعيش', 'عمرين', 'علي', 'عمري', 'انا', 'اخلي', 'عينيك', 'تملك', 'زمام', 'امري', 'صدقت', 'محتاج', 'تفكر', 'عايزني', 'اقولك', 'اكتر', 'صدقت', 'محتاج', 'تفكر', 'عايزني', 'اقولك', 'اكتر', 'والله', 'علي', 'بالي', 'بيجرالي', 'والله', 'علي', 'بالي', 'بيجرالي', 'صدقتني', 'وعرفت', 'ايه', 'معني', 'انشغالي', 'صدقتني', 'وعرفت', 'ايه', 'معني', 'انشغالي', 'صدقتني', 'وعرفت', 'ايه', 'معني', 'انشغالي']",Love,"Love. The lyrics express deep affection and devotion, with the speaker emphasizing the value of the beloved and their impact on the speaker's heart and life."
بلاش تكلمها,"['بلاش', 'تكلمها', 'خليك', 'بعيد', 'بلاش', 'تكلمها', 'خليك', 'بعيد', 'تنشغل', 'بيها', 'وتهوي', 'لياليها', 'تنشغل', 'بيها', 'وتهوي', 'لياليها', 'نظره', 'بعيونها', 'بعيونها', 'ياقلبي', 'بلاش', 'تكلمها', 'خليك', 'بعيد', 'تنشغل', 'بيها', 'وتهوي', 'لياليها', 'نظره', 'بعيونها', 'بعيونها', 'ياقلبي', 'خايف', 'لتتوه', 'احلامها', 'خايف', 'لتتوه', 'احلامها', 'وتعيش', 'اسير', 'الشوق', 'الشوق', 'علي', 'ذكري', 'ايامها', 'خايف', 'لتتوه', 'احلامها', 'خايف', 'لتتوه', 'احلامها', 'وتعيش', 'اسير', 'الشوق', 'الشوق', 'علي', 'ذكري', 'ايامها', 'وتنشغل', 'بيها', 'وتهوي', 'لياليها', 'نظره', 'بعيونها', 'بعيونها', 'ياقلبي', 'تكنش', 'حبيتها', 'وعشقت', 'اوصافها', 'تكنش', 'حبيتها', 'وعشقت', 'اوصافها', 'طب', 'قولي', 'فين', 'وازاي', 'ازاي', 'تعرفها', 'تكنش', 'حبيتها', 'وعشقت', 'اوصافها', 'طب', 'قولي', 'فين', 'وازاي', 'ازاي', 'تعرفها', 'بتنشغل', 'بيها', 'وتهوي', 'لياليها', 'نظره', 'بعيونها', 'بعيونها', 'ياقلبي', 'تنشغل', 'بيها', 'وتهوي', 'لياليها', 'تنشغل', 'بيها', 'وتهوي', 'لياليها', 'نظره', 'بعيونها', 'بعيونها', 'ياقلبي']",Love,"**Fear:** The lyrics express a clear fear of losing oneself in love and the potential consequences, such as shattered dreams and being held captive by longing. Phrases like ""خايف لتتوه احلامها"" (afraid that her dreams will get lost) and ""وتعيش اسير الشوق"" (and she lives prisoner of longing) strongly indicate this emotion."
حاولت,"['حاولت', 'حاولت', 'ابعد', 'بعيد', 'عرفتش', 'حاولت', 'حاولت', 'انسي', 'قدرتش', 'حاولت', 'كتير', 'قلبي', 'بكي', 'وجنني', 'حاولت', 'كتير', 'قلبي', 'بكي', 'وجنني', 'وتوهني', 'في', 'ليل', 'اللوم', 'وزاد', 'اللوم', 'اكون', 'غلطان', 'غلطان', 'داري', 'الحب', 'بيداري', 'حاولت', 'اسمع', 'كلام', 'قلبي', 'كلام', 'قلبي', 'فهمتش', 'حاولت', 'كتير', 'قلبي', 'كلمني', 'لامني', 'كلام', 'وظنون', 'اتاري', 'قلبي', 'حبك', 'موت', 'اه', 'ياعمري', 'اه', 'ياعمري', 'اه', 'حاولت', 'حاولت', 'ابعد', 'بعيد', 'ومعرفتش', 'حاولت', 'حاولت', 'انسي', 'ومقدرتش', 'حاولت', 'كتير', 'قلبي', 'بكي', 'وجنني', 'وتوهني', 'في', 'ليل', 'اللوم', 'وزاد', 'اللوم', 'اكون', 'مشتاق', 'مشتاق', 'انا', 'وقلبي', 'البعد', 'ذنبي', 'حاولت', 'اهرب', 'بعيد', 'واعيش', 'انا', 'وقلبي', 'حاولت', 'كتير', 'قلبي', 'لاكلمني', 'لامني', 'كلام', 'وظنون', 'اتاري', 'قلبي', 'حبك', 'موت', 'اه', 'ياعمري', 'اه', 'ياعمري', 'اه', 'حاولت', 'حاولت', 'ابعد', 'بعيد', 'عرفتش', 'حاولت', 'حاولت', 'انسي', 'قدرتش', 'حاولت', 'كتير', 'قلبي', 'بكي', 'وجنني', 'وتوهني', 'في', 'ليل', 'اللوم', 'وزاد', 'اللوم']",Sadness,"**Sadness/Regret/Frustration (Mixed)**

Explanation: The lyrics express repeated attempts to forget a love and move on (""حاولت ابعد"", ""حاولت انسي""), but failing (""عرفتش"", ""قدرتش""). The heart is described as crying and driving the speaker crazy (""قلبي بكي وجنني""), lost in a night of blame (""ليل اللوم""). There's a sense of being blamed by the heart (""لامني"") and longing (""مشتاق""), combined with the frustration of being unable to escape the strong feelings (""حاولت اهرب بعيد""). The repetition of ""حاولت"" (I tried) emphasizes the struggle and the failure to overcome the emotions associated with this love. The ""Ah, Ya Omri"" also conveys a sense of lament and sorrow."
عودوني,"['عشت', 'عمري', 'واما', 'جيتلي', 'عشته', 'في', 'عشت', 'عمري', 'واما', 'جيتلي', 'عشته', 'في', 'عودوني', 'عودوني', 'احبك', 'عودوني', 'عودوني', 'وعلموني', 'هواك', 'عودوني', 'عودوني', 'احبك', 'عودوني', 'عودوني', 'وعلموني', 'هواك', 'قلب', 'اللي', 'حاسس', 'بيك', 'قلبي', 'العاشق', 'اللي', 'دايب', 'قلب', 'اللي', 'حاسس', 'بيك', 'قلبي', 'العاشق', 'اللي', 'دايب', 'عودوني', 'عودوني', 'احبك', 'عودوني', 'عودوني', 'وعلموني', 'هواك', 'عودوني', 'عودوني', 'احبك', 'عودوني', 'عودوني', 'عودوني', 'احبك', 'عودوني', 'بخاطري', 'لاقي', 'حلول', 'غصب', 'عيوني', 'عودتني', 'اقول', 'بخاطري', 'لاقي', 'حلول', 'غصب', 'عيوني', 'عودتني', 'اقول', 'عودوني', 'عودوني', 'احبك', 'عودوني', 'عودوني', 'وعلموني', 'هواك', 'عودوني', 'عودوني', 'احبك', 'عودوني', 'عودوني', 'عودوني', 'احبك', 'عودوني', 'عودوني', 'عودوني', 'احبك', 'عودوني', 'عودوني', 'وعلموني', 'هواك', 'عودوني', 'عودوني', 'احبك', 'عودوني', 'عودوني', 'وعلموني', 'هواك', 'عودوني', 'عودوني', 'احبك', 'عودوني', 'عودوني', 'وعلموني', 'هواك', 'عودوني', 'عودوني', 'احبك', 'عودوني', 'عودوني', 'وعلموني', 'هواك', 'عودوني', 'عودوني', 'احبك', 'عودوني', 'عودوني', 'وعلموني', 'هواك']",Love,"Love: The lyrics express being taught to love someone (""عودوني احبك"", ""عودوني وعلموني هواك"") and the heart being in love (""قلبي العاشق اللي دايب""). The repetition of ""عودوني احبك"" (they accustomed me to love you) points to a strong feeling of love, possibly intertwined with a sense of being conditioned to feel this way."
خلصت فيك كل الكلام,"['خلصت', 'الكلام', 'معلم', 'القلب', 'الغرام', 'خلصت', 'الكلام', 'معلم', 'القلب', 'الغرام', 'قلبك', 'ناداني', 'رجعني', 'دوب', 'حناني', 'هواك', 'قلبك', 'ناداني', 'رجعني', 'دوب', 'حناني', 'هواك', 'خلصت', 'الكلام', 'معلم', 'القلب', 'الغرام', 'خلصت', 'الكلام', 'معلم', 'القلب', 'الغرام', 'حبيت', 'ملامحك', 'نظره', 'واحده', 'شفتها', 'حبيت', 'ملامحك', 'نظره', 'واحده', 'شفتها', 'عمري', 'بهواك', 'ابتدي', 'نسمه', 'الندي', 'احلي', 'غنوه', 'قلتها', 'خلصت', 'الكلام', 'معلم', 'القلب', 'الغرام', 'خلصت', 'الكلام', 'معلم', 'القلب', 'الغرام', 'حسيت', 'بحبك', 'قلتها', 'وسمعت', 'ردها', 'حسيت', 'بحبك', 'قلتها', 'وسمعت', 'ردها', 'شوقي', 'قلبي', 'مصدقه', 'قلبك', 'صدقه', 'احلي', 'غنوه', 'قلتها', 'خلصت', 'الكلام', 'معلم', 'القلب', 'الغرام', 'خلصت', 'الكلام', 'معلم', 'القلب', 'الغرام', 'خلصت', 'الكلام', 'معلم', 'القلب', 'الغرام', 'خلصت', 'الكلام', 'معلم', 'القلب', 'الغرام', 'قلبك', 'ناداني', 'رجعني', 'دوب', 'حناني', 'هواك', 'قلبك', 'ناداني', 'رجعني', 'دوب', 'حناني', 'هواك', 'خلصت', 'الكلام', 'معلم', 'القلب', 'الغرام', 'خلصت', 'الكلام', 'معلم', 'القلب', 'الغرام', 'خلصت', 'الكلام', 'معلم', 'القلب', 'الغرام', 'خلصت', 'الكلام', 'معلم', 'القلب', 'الغرام', 'خلصت', 'الكلام', 'معلم', 'القلب', 'الغرام']",Love,"**Love:** The lyrics express strong feelings of love and affection. Phrases like ""الغرام"" (love), ""قلبك ناداني"" (your heart called me), ""دوب حناني هواك"" (my tenderness melts in your love), ""حبيت ملامحك"" (I loved your features), ""عمري بهواك ابتدي"" (my life starts with your love), and ""حسيت بحبك"" (I felt your love) clearly indicate a dominant emotion of love."
الملاك البرىء,"['ادي', 'الملاك', 'البريء', 'ابو', 'قلب', 'طيب', 'قوي', 'ادي', 'شيء', 'كسرلي', 'قلبي', 'القوي', 'وادي', 'الملاك', 'البريء', 'ابو', 'قلب', 'طيب', 'قوي', 'ادي', 'شيء', 'كسرلي', 'قلبي', 'القوي', 'ليلي', 'قمري', 'روحي', 'عمري', 'سلمت', 'امري', 'ليلي', 'قمري', 'روحي', 'عمري', 'سلمت', 'امري', 'واحنا', 'في', 'نص', 'الطريق', 'قلبه', 'عليا', 'قوي', 'ادي', 'الملاك', 'البريء', 'ابو', 'قلب', 'طيب', 'قوي', 'ادي', 'شيء', 'كسرلي', 'قلبي', 'القوي', 'ادي', 'علي', 'الحب', 'وعدني', 'حالف', 'يفارق', 'حضني', 'ادي', 'اعز', 'واغلي', 'ليا', 'احن', 'الدنيا', 'عليا', 'عندوش', 'قلب', 'وضمير', 'ادي', 'طول', 'الزمان', 'نبعنا', 'بيرتوي', 'وادي', 'الملاك', 'البريء', 'ابو', 'قلب', 'طيب', 'قوي', 'ادي', 'شيء', 'كسرلي', 'قلبي', 'القوي', 'ادي', 'قلبي', 'وادي', 'ياعيني', 'عمري', 'اللي', 'اديته', 'سنيني', 'ادي', 'انا', 'ندمان', 'علي', 'حبه', 'علي', 'الشوق', 'سقيته', 'لقلبه', 'علي', 'حياتنا', 'سوا', 'ادي', 'طول', 'الزمان', 'نبعنا', 'بيرتوي', 'وادي', 'الملاك', 'البريء', 'ابو', 'قلب', 'طيب', 'قوي', 'ادي', 'شيء', 'كسرلي', 'قلبي', 'القوي', 'وادي', 'الملاك', 'البريء', 'ابو', 'قلب', 'طيب', 'قوي', 'ادي', 'شيء', 'كسرلي', 'قلبي', 'القوي', 'ليلي', 'قمري', 'روحي', 'عمري', 'سلمت', 'امري', 'ليلي', 'قمري', 'روحي', 'عمري', 'سلمت', 'امري', 'واحنا', 'في', 'نص', 'الطريق', 'قلبه', 'عليا', 'قوي']",Sadness,"**Sadness/Heartbreak:** The lyrics express a deep sense of betrayal and disappointment. Phrases like ""كسرلي قلبي"" (broke my heart), ""ندمان علي حبه"" (regretful of loving him), and the contrast between the initial perception of the person as innocent and kind (""الملاك البريء ابو قلب طيب قوي"") and the later realization of their capacity to cause pain clearly indicate sadness and heartbreak."
